"NAME";"OUTCOME";"ORIGIN_FIELD";"FREEBASE_FIELD"
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Willie Reed";"SEMICORRECT";"tlouis";"roelandpark"
"Willie Reed";"SEMICORRECT";"tlouis";"roelandpark"
"Jason Terry";"CORRECT";"";""
"Jason Terry";"CORRECT";"";""
"Jason Terry";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Louis Williams";"SEMICORRECT";"lithonia";"memphis"
"Louis Williams";"SEMICORRECT";"lithonia";"memphis"
"Louis Williams";"SEMICORRECT";"lithonia";"memphis"
"Carlos Delfino";"SEMICORRECT";"argentina";"santafe"
"Carlos Delfino";"SEMICORRECT";"argentina";"santafe"
"Carlos Delfino";"SEMICORRECT";"argentina";"santafe"
"Gary Neal";"CORRECT";"";""
"Gary Neal";"CORRECT";"";""
"Gary Neal";"CORRECT";"";""
"Chris Wright";"CORRECT";"";""
"Chris Wright";"CORRECT";"";""
"Giannis Antetokounmpo";"UNCORRECT";"1994-12-06";"1994-12-16"
"Giannis Antetokounmpo";"UNCORRECT";"1994-12-06";"1994-12-16"
"Giannis Antetokounmpo";"UNCORRECT";"1994-12-06";"1994-12-16"
"Miroslav Raduljica";"SEMICORRECT";"";"belgrade"
"Miroslav Raduljica";"SEMICORRECT";"";"belgrade"
"D.J. Stephens";"SEMICORRECT";"germany";""
"D.J. Stephens";"SEMICORRECT";"germany";""
"D.J. Stephens";"SEMICORRECT";"germany";""
"Ekpe Udoh";"CORRECT";"";""
"Ekpe Udoh";"CORRECT";"";""
"Ekpe Udoh";"CORRECT";"";""
"Tony Mitchell";"CORRECT";"";""
"Tony Mitchell";"CORRECT";"";""
"Lou Amundson";"UNCORRECT";"Lou Amundson";"Louis Amundson"
"Lou Amundson";"UNCORRECT";"Lou Amundson";"Louis Amundson"
"Lou Amundson";"UNCORRECT";"Lou Amundson";"Louis Amundson"
"Mike James";"SEMICORRECT";"amityville";"copiague"
"Mike James";"SEMICORRECT";"amityville";"copiague"
"Mike James";"SEMICORRECT";"amityville";"copiague"
"Ronnie Brewer";"CORRECT";"";""
"Ronnie Brewer";"CORRECT";"";""
"Ronnie Brewer";"CORRECT";"";""
"Derrick Rose";"CORRECT";"";""
"Derrick Rose";"CORRECT";"";""
"Derrick Rose";"CORRECT";"";""
"Greg Smith";"CORRECT";"";""
"Greg Smith";"CORRECT";"";""
"Greg Smith";"CORRECT";"";""
"Jeff Adrien";"CORRECT";"";""
"Tony Snell";"SEMICORRECT";"riverside";"watts"
"Tony Snell";"SEMICORRECT";"riverside";"watts"
"Tony Snell";"SEMICORRECT";"riverside";"watts"
"Nazr Mohammed";"CORRECT";"";""
"Nazr Mohammed";"CORRECT";"";""
"Nazr Mohammed";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"DeJuan Blair";"CORRECT";"";""
"DeJuan Blair";"CORRECT";"";""
"DeJuan Blair";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Khris Middleton";"CORRECT";"";""
"Khris Middleton";"CORRECT";"";""
"Khris Middleton";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Gal Mekel";"SEMICORRECT";"israel";"petahtikva"
"Gal Mekel";"SEMICORRECT";"israel";"petahtikva"
"Gal Mekel";"SEMICORRECT";"israel";"petahtikva"
"Ricky Ledo";"CORRECT";"";""
"Ricky Ledo";"CORRECT";"";""
"Ricky Ledo";"CORRECT";"";""
"Bernard James";"CORRECT";"";""
"Bernard James";"CORRECT";"";""
"Bernard James";"CORRECT";"";""
"Shane Larkin";"CORRECT";"";""
"Shane Larkin";"CORRECT";"";""
"Shane Larkin";"CORRECT";"";""
"Shawn Marion";"SEMICORRECT";"chicago";"waukegan"
"Shawn Marion";"SEMICORRECT";"chicago";"waukegan"
"Shawn Marion";"SEMICORRECT";"chicago";"waukegan"
"Wayne Ellington";"CORRECT";"";""
"Wayne Ellington";"CORRECT";"";""
"Wayne Ellington";"CORRECT";"";""
"Jae Crowder";"CORRECT";"";""
"Jae Crowder";"CORRECT";"";""
"Jae Crowder";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Boris Diaw";"SEMICORRECT";"france";"cormeilles-en-parisis"
"Boris Diaw";"SEMICORRECT";"france";"cormeilles-en-parisis"
"Boris Diaw";"SEMICORRECT";"france";"cormeilles-en-parisis"
"Anthony Morrow";"CORRECT";"";""
"Anthony Morrow";"CORRECT";"";""
"Anthony Morrow";"CORRECT";"";""
"Brian Roberts";"CORRECT";"";""
"Brian Roberts";"CORRECT";"";""
"Brian Roberts";"CORRECT";"";""
"Austin Rivers";"CORRECT";"";""
"Austin Rivers";"CORRECT";"";""
"Austin Rivers";"CORRECT";"";""
"Al-Farouq Aminu";"CORRECT";"";""
"Al-Farouq Aminu";"CORRECT";"";""
"Al-Farouq Aminu";"CORRECT";"";""
"James Southerland";"SEMICORRECT";"bayside";"queens"
"James Southerland";"SEMICORRECT";"bayside";"queens"
"Alexis Ajinca";"UNCORRECT";"Alexis Ajinca";"Alexis Ajinça"
"Alexis Ajinca";"UNCORRECT";"Alexis Ajinca";"Alexis Ajinça"
"Darius Miller";"CORRECT";"";""
"Darius Miller";"CORRECT";"";""
"Darius Miller";"CORRECT";"";""
"Jeff Withey";"CORRECT";"";""
"Jeff Withey";"CORRECT";"";""
"Lance Thomas";"CORRECT";"";""
"Lance Thomas";"CORRECT";"";""
"Lance Thomas";"CORRECT";"";""
"Melvin Ely";"CORRECT";"";""
"Melvin Ely";"CORRECT";"";""
"Josh Childress";"CORRECT";"";""
"Josh Childress";"CORRECT";"";""
"Josh Childress";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Monta Ellis";"CORRECT";"";""
"Monta Ellis";"CORRECT";"";""
"Monta Ellis";"CORRECT";"";""
"Monta Ellis";"CORRECT";"";""
"Patrick Beverley";"CORRECT";"";""
"Patrick Beverley";"CORRECT";"";""
"Patrick Beverley";"CORRECT";"";""
"Troy Daniels";"CORRECT";"";""
"Troy Daniels";"CORRECT";"";""
"Francisco Garcia";"UNCORRECT";"Francisco Garcia";"Francisco García"
"Francisco Garcia";"UNCORRECT";"Francisco Garcia";"Francisco García"
"Francisco Garcia";"UNCORRECT";"Francisco Garcia";"Francisco García"
"Isaiah Canaan";"CORRECT";"";""
"Isaiah Canaan";"CORRECT";"";""
"Omri Casspi";"SEMICORRECT";"israel";"holon"
"Omri Casspi";"SEMICORRECT";"israel";"holon"
"Omri Casspi";"SEMICORRECT";"israel";"holon"
"Robert Covington";"CORRECT";"";""
"Josh Powell";"CORRECT";"";""
"Robert Covington";"CORRECT";"";""
"Josh Powell";"CORRECT";"";""
"Josh Powell";"CORRECT";"";""
"Jordan Hamilton";"CORRECT";"";""
"Jordan Hamilton";"CORRECT";"";""
"James Johnson";"CORRECT";"";""
"Jordan Hamilton";"CORRECT";"";""
"James Johnson";"CORRECT";"";""
"James Johnson";"CORRECT";"";""
"Donatas Motiejunas";"UNCORRECT";"Donatas Motiejunas";"Donatas Motiej?nas"
"Donatas Motiejunas";"UNCORRECT";"Donatas Motiejunas";"Donatas Motiej?nas"
"Mike Miller";"CORRECT";"";""
"Donatas Motiejunas";"UNCORRECT";"Donatas Motiejunas";"Donatas Motiej?nas"
"Mike Miller";"CORRECT";"";""
"Mike Miller";"CORRECT";"";""
"Jamaal Franklin";"CORRECT";"";""
"Jamaal Franklin";"CORRECT";"";""
"Tayshaun Prince";"CORRECT";"";""
"Tayshaun Prince";"CORRECT";"";""
"Tayshaun Prince";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"Tyreke Evans";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"Garrett Temple";"CORRECT";"";""
"Garrett Temple";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Ben Gordon";"SEMICORRECT";"england";"london"
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jon Leuer";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Michael Kidd-Gilchrist";"CORRECT";"";""
"Michael Kidd-Gilchrist";"CORRECT";"";""
"Michael Kidd-Gilchrist";"CORRECT";"";""
"Cody Zeller";"CORRECT";"";""
"Cody Zeller";"CORRECT";"";""
"Cody Zeller";"CORRECT";"";""
"Anthony Tolliver";"CORRECT";"";""
"Anthony Tolliver";"CORRECT";"";""
"Anthony Tolliver";"CORRECT";"";""
"D.J. White";"UNCORRECT";"D.J. White";"D. J. White"
"D.J. White";"UNCORRECT";"D.J. White";"D. J. White"
"D.J. White";"UNCORRECT";"D.J. White";"D. J. White"
"D.J. White";"UNCORRECT";"D.J. White";"D. J. White"
"Patty Mills";"SEMICORRECT";"australia";"canberra"
"Patty Mills";"SEMICORRECT";"australia";"canberra"
"Patty Mills";"SEMICORRECT";"australia";"canberra"
"Aron Baynes";"SEMICORRECT";"newzealand";"gisborne"
"Aron Baynes";"SEMICORRECT";"newzealand";"gisborne"
"Matt Bonner";"CORRECT";"";""
"Matt Bonner";"CORRECT";"";""
"Matt Bonner";"CORRECT";"";""
"Jeff Ayres";"UNCORRECT";"Jeff Ayres";"Jeff Pendergraph"
"Jeff Ayres";"UNCORRECT";"Jeff Ayres";"Jeff Pendergraph"
"Jeff Ayres";"UNCORRECT";"Jeff Ayres";"Jeff Pendergraph"
"Jeff Taylor";"UNCORRECT";"1989-05-23";"1960-01-01"
"Jeff Taylor";"UNCORRECT";"1989-05-23";"1960-01-01"
"Brendan Haywood";"SEMICORRECT";"newyork";"newyorkcity"
"Brendan Haywood";"SEMICORRECT";"newyork";"newyorkcity"
"Brendan Haywood";"SEMICORRECT";"newyork";"newyorkcity"
"Josh McRoberts";"CORRECT";"";""
"Jeff Taylor";"UNCORRECT";"1989-05-23";"1960-01-01"
"Damion James";"CORRECT";"";""
"Damion James";"CORRECT";"";""
"Damion James";"CORRECT";"";""
"Josh McRoberts";"CORRECT";"";""
"Josh McRoberts";"CORRECT";"";""
"Josh McRoberts";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Michael Beasley";"SEMICORRECT";"frederick";"princegeorge'scounty"
"Michael Beasley";"SEMICORRECT";"frederick";"princegeorge'scounty"
"Michael Beasley";"SEMICORRECT";"frederick";"princegeorge'scounty"
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"Justin Hamilton";"CORRECT";"";""
"Justin Hamilton";"CORRECT";"";""
"Norris Cole";"CORRECT";"";""
"Norris Cole";"CORRECT";"";""
"Norris Cole";"CORRECT";"";""
"Toney Douglas";"SEMICORRECT";"tampa";"jonesboro"
"Toney Douglas";"SEMICORRECT";"tampa";"jonesboro"
"Toney Douglas";"SEMICORRECT";"tampa";"jonesboro"
"James Jones";"CORRECT";"";""
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"James Jones";"CORRECT";"";""
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"James Jones";"CORRECT";"";""
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"Rashard Lewis";"CORRECT";"";""
"Rashard Lewis";"CORRECT";"";""
"Rashard Lewis";"CORRECT";"";""
"Greg Oden";"CORRECT";"";""
"Greg Oden";"CORRECT";"";""
"Greg Oden";"CORRECT";"";""
"Malcolm Thomas";"CORRECT";"";""
"Malcolm Thomas";"CORRECT";"";""
"Malcolm Thomas";"CORRECT";"";""
"Dexter Pittman";"CORRECT";"";""
"Pero Antic";"UNCORRECT";"Pero Antic";"Pero Anti?"
"Pero Antic";"UNCORRECT";"Pero Antic";"Pero Anti?"
"Pero Antic";"UNCORRECT";"Pero Antic";"Pero Anti?"
"Kyle Korver";"CORRECT";"";""
"Dennis Schroder";"UNCORRECT";"Dennis Schroder";"Dennis Schröder"
"Dennis Schroder";"UNCORRECT";"Dennis Schroder";"Dennis Schröder"
"Dennis Schroder";"UNCORRECT";"Dennis Schroder";"Dennis Schröder"
"Kyle Korver";"CORRECT";"";""
"Kyle Korver";"CORRECT";"";""
"Kyle Korver";"CORRECT";"";""
"Mike Muscala";"SEMICORRECT";"";"st.louispark"
"Mike Muscala";"SEMICORRECT";"";"st.louispark"
"Cartier Martin";"CORRECT";"";""
"Cartier Martin";"CORRECT";"";""
"Cartier Martin";"CORRECT";"";""
"Elton Brand";"SEMICORRECT";"cortland";"cortlandtmanor"
"Elton Brand";"SEMICORRECT";"cortland";"cortlandtmanor"
"Elton Brand";"SEMICORRECT";"cortland";"cortlandtmanor"
"Shelvin Mack";"CORRECT";"";""
"Shelvin Mack";"CORRECT";"";""
"Shelvin Mack";"CORRECT";"";""
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"John Jenkins";"SEMICORRECT";"nashville";"hendersonville"
"Ray Allen";"CORRECT";"";""
"John Jenkins";"SEMICORRECT";"nashville";"hendersonville"
"Ray Allen";"CORRECT";"";""
"John Jenkins";"SEMICORRECT";"nashville";"hendersonville"
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Ray Allen";"CORRECT";"";""
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Ray Allen";"CORRECT";"";""
"E'Twaun Moore";"CORRECT";"";""
"E'Twaun Moore";"CORRECT";"";""
"E'Twaun Moore";"CORRECT";"";""
"E'Twaun Moore";"CORRECT";"";""
"Andrew Nicholson";"SEMICORRECT";"canada";"mississauga"
"Andrew Nicholson";"SEMICORRECT";"canada";"mississauga"
"Andrew Nicholson";"SEMICORRECT";"canada";"mississauga"
"Doron Lamb";"CORRECT";"";""
"Doron Lamb";"CORRECT";"";""
"Doron Lamb";"CORRECT";"";""
"Jason Maxiell";"CORRECT";"";""
"Jason Maxiell";"CORRECT";"";""
"Jason Maxiell";"CORRECT";"";""
"Solomon Jones";"CORRECT";"";""
"Solomon Jones";"CORRECT";"";""
"Solomon Jones";"CORRECT";"";""
"Quincy Miller";"SEMICORRECT";"northchicago";"chicago"
"Quincy Miller";"SEMICORRECT";"northchicago";"chicago"
"Quincy Miller";"SEMICORRECT";"northchicago";"chicago"
"Timofey Mozgov";"SEMICORRECT";"";"saintpetersburg"
"Timofey Mozgov";"SEMICORRECT";"";"saintpetersburg"
"Timofey Mozgov";"SEMICORRECT";"";"saintpetersburg"
"Darrell Arthur";"CORRECT";"";""
"Evan Fournier";"SEMICORRECT";"france";"saint-maurice"
"Evan Fournier";"SEMICORRECT";"france";"saint-maurice"
"Evan Fournier";"SEMICORRECT";"france";"saint-maurice"
"Anthony Randolph";"SEMICORRECT";"westgermany";"würzburg"
"Anthony Randolph";"SEMICORRECT";"westgermany";"würzburg"
"Anthony Randolph";"SEMICORRECT";"westgermany";"würzburg"
"Darrell Arthur";"CORRECT";"";""
"Darrell Arthur";"CORRECT";"";""
"Jan Vesely";"UNCORRECT";"Jan Vesely";"Jan Veselý"
"Jan Vesely";"UNCORRECT";"Jan Vesely";"Jan Veselý"
"Jan Vesely";"UNCORRECT";"Jan Vesely";"Jan Veselý"
"Dewayne Dedmon";"CORRECT";"";""
"Dewayne Dedmon";"CORRECT";"";""
"Dewayne Dedmon";"CORRECT";"";""
"Ronnie Price";"CORRECT";"";""
"Danilo Gallinari";"SEMICORRECT";"italy";"sant'angelolodigiano"
"Danilo Gallinari";"SEMICORRECT";"italy";"sant'angelolodigiano"
"Danilo Gallinari";"SEMICORRECT";"italy";"sant'angelolodigiano"
"J.J. Hickson";"UNCORRECT";"J.J. Hickson";"JJ Hickson"
"J.J. Hickson";"UNCORRECT";"J.J. Hickson";"JJ Hickson"
"J.J. Hickson";"UNCORRECT";"J.J. Hickson";"JJ Hickson"
"Victor Oladipo";"SEMICORRECT";"silverspring";"uppermarlboro"
"Victor Oladipo";"SEMICORRECT";"silverspring";"uppermarlboro"
"Victor Oladipo";"SEMICORRECT";"silverspring";"uppermarlboro"
"Maurice Harkless";"CORRECT";"";""
"Kyle O'Quinn";"SEMICORRECT";"queens";"jamaica"
"Maurice Harkless";"CORRECT";"";""
"Maurice Harkless";"CORRECT";"";""
"Maurice Harkless";"CORRECT";"";""
"JaVale McGee";"CORRECT";"";""
"JaVale McGee";"CORRECT";"";""
"JaVale McGee";"CORRECT";"";""
"JaVale McGee";"CORRECT";"";""
"Drew Gooden";"CORRECT";"";""
"Drew Gooden";"CORRECT";"";""
"Drew Gooden";"CORRECT";"";""
"Otto Porter Jr.";"SEMICORRECT";"";"st.louis"
"Al Harrington";"CORRECT";"";""
"Al Harrington";"CORRECT";"";""
"Al Harrington";"CORRECT";"";""
"Otto Porter Jr.";"SEMICORRECT";"";"st.louis"
"Otto Porter Jr.";"SEMICORRECT";"";"st.louis"
"Otto Porter Jr.";"SEMICORRECT";"";"st.louis"
"Kevin Seraphin";"UNCORRECT";"Kevin Seraphin";"Kevin Séraphin"
"Kevin Seraphin";"UNCORRECT";"Kevin Seraphin";"Kevin Séraphin"
"Kevin Seraphin";"UNCORRECT";"Kevin Seraphin";"Kevin Séraphin"
"Corey Brewer";"CORRECT";"";""
"Corey Brewer";"CORRECT";"";""
"Corey Brewer";"CORRECT";"";""
"Chase Budinger";"SEMICORRECT";"lajolla";"encinitas"
"Chase Budinger";"SEMICORRECT";"lajolla";"encinitas"
"Chase Budinger";"SEMICORRECT";"lajolla";"encinitas"
"Dante Cunningham";"CORRECT";"";""
"Dante Cunningham";"CORRECT";"";""
"Dante Cunningham";"CORRECT";"";""
"Gorgui Dieng";"SEMICORRECT";"senegal";"kébémerdepartment"
"Gorgui Dieng";"SEMICORRECT";"senegal";"kébémerdepartment"
"Gorgui Dieng";"SEMICORRECT";"senegal";"kébémerdepartment"
"Shabazz Muhammad";"SEMICORRECT";"losangeles";"longbeach"
"Shabazz Muhammad";"SEMICORRECT";"losangeles";"longbeach"
"Shabazz Muhammad";"SEMICORRECT";"losangeles";"longbeach"
"Alexey Shved";"SEMICORRECT";"";"belgorod"
"Alexey Shved";"SEMICORRECT";"";"belgorod"
"Alexey Shved";"SEMICORRECT";"";"belgorod"
"A.J. Price";"UNCORRECT";"A.J. Price";"A. J. Price"
"Robbie Hummel";"CORRECT";"";""
"Robbie Hummel";"CORRECT";"";""
"A.J. Price";"UNCORRECT";"A.J. Price";"A. J. Price"
"A.J. Price";"UNCORRECT";"A.J. Price";"A. J. Price"
"Othyus Jeffers";"UNCORRECT";"1985-08-15";"1985-08-05"
"Othyus Jeffers";"UNCORRECT";"1985-08-15";"1985-08-05"
"Othyus Jeffers";"UNCORRECT";"1985-08-15";"1985-08-05"
"Glen Rice Jr.";"UNCORRECT";"Glen Rice Jr.";"Glen Rice, Jr."
"Glen Rice Jr.";"UNCORRECT";"Glen Rice Jr.";"Glen Rice, Jr."
"Glen Rice Jr.";"UNCORRECT";"Glen Rice Jr.";"Glen Rice, Jr."
"Kevin Martin";"CORRECT";"";""
"Kevin Martin";"CORRECT";"";""
"Kevin Martin";"CORRECT";"";""
"Kevin Martin";"CORRECT";"";""
"Chris Singleton";"CORRECT";"";""
"Chris Singleton";"CORRECT";"";""
"Chris Singleton";"CORRECT";"";""
"Meyers Leonard";"SEMICORRECT";"woodbridge";"robinson"
"Meyers Leonard";"SEMICORRECT";"woodbridge";"robinson"
"Meyers Leonard";"SEMICORRECT";"woodbridge";"robinson"
"Thomas Robinson";"UNCORRECT";"1991-03-18";"1991-03-17"
"Thomas Robinson";"UNCORRECT";"1991-03-18";"1991-03-17"
"Thomas Robinson";"UNCORRECT";"1991-03-18";"1991-03-17"
"Joel Freeland";"SEMICORRECT";"england";"farnham"
"Joel Freeland";"SEMICORRECT";"england";"farnham"
"Joel Freeland";"SEMICORRECT";"england";"farnham"
"Dorell Wright";"CORRECT";"";""
"Dorell Wright";"CORRECT";"";""
"Dorell Wright";"CORRECT";"";""
"Victor Claver";"UNCORRECT";"Victor Claver";"Víctor Claver"
"Victor Claver";"UNCORRECT";"Victor Claver";"Víctor Claver"
"Allen Crabbe";"UNCORRECT";"1992-04-09";"1992-04-04"
"Allen Crabbe";"UNCORRECT";"1992-04-09";"1992-04-04"
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Will Barton";"CORRECT";"";""
"C.J. McCollum";"UNCORRECT";"C.J. McCollum";"C. J. McCollum"
"Will Barton";"CORRECT";"";""
"Will Barton";"CORRECT";"";""
"C.J. McCollum";"UNCORRECT";"C.J. McCollum";"C. J. McCollum"
"C.J. McCollum";"UNCORRECT";"C.J. McCollum";"C. J. McCollum"
"C.J. McCollum";"UNCORRECT";"C.J. McCollum";"C. J. McCollum"
"Earl Watson";"CORRECT";"";""
"Earl Watson";"CORRECT";"";""
"Earl Watson";"CORRECT";"";""
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Reggie Williams";"UNCORRECT";"1986-09-14";"1964-03-05"
"Ryan Gomes";"CORRECT";"";""
"Mustafa Shakur";"CORRECT";"";""
"Royal Ivey";"CORRECT";"";""
"Nick Collison";"CORRECT";"";""
"Nick Collison";"CORRECT";"";""
"Nick Collison";"CORRECT";"";""
"Perry Jones";"UNCORRECT";"Perry Jones";"Perry Jones III"
"Perry Jones";"UNCORRECT";"Perry Jones";"Perry Jones III"
"Perry Jones";"UNCORRECT";"Perry Jones";"Perry Jones III"
"Hasheem Thabeet";"SEMICORRECT";"";"daressalaam"
"Hasheem Thabeet";"SEMICORRECT";"";"daressalaam"
"Hasheem Thabeet";"SEMICORRECT";"";"daressalaam"
"Andre Roberson";"SEMICORRECT";"lascruces";"sanantonio"
"Andre Roberson";"SEMICORRECT";"lascruces";"sanantonio"
"Grant Jerrett";"SEMICORRECT";"chinohills";"costamesa"
"Grant Jerrett";"SEMICORRECT";"chinohills";"costamesa"
"Steven Adams";"UNCORRECT";"1993-07-20";"1993-07-28"
"Steven Adams";"UNCORRECT";"1993-07-20";"1993-07-28"
"Steven Adams";"UNCORRECT";"1993-07-20";"1993-07-28"
"Robin Lopez";"CORRECT";"";""
"Robin Lopez";"CORRECT";"";""
"Robin Lopez";"CORRECT";"";""
"Robin Lopez";"CORRECT";"";""
"Thabo Sefolosha";"SEMICORRECT";"switzerland";"vevey"
"Thabo Sefolosha";"SEMICORRECT";"switzerland";"vevey"
"Thabo Sefolosha";"SEMICORRECT";"switzerland";"vevey"
"Jeremy Lamb";"SEMICORRECT";"";"norcross"
"Jeremy Lamb";"SEMICORRECT";"";"norcross"
"Jeremy Lamb";"SEMICORRECT";"";"norcross"
"Wesley Matthews";"CORRECT";"";""
"Wesley Matthews";"CORRECT";"";""
"Wesley Matthews";"CORRECT";"";""
"Wesley Matthews";"CORRECT";"";""
"Jeremy Evans";"CORRECT";"";""
"Jeremy Evans";"CORRECT";"";""
"Jeremy Evans";"CORRECT";"";""
"Mike Harris";"CORRECT";"";""
"Mike Harris";"CORRECT";"";""
"John Lucas III";"SEMICORRECT";"washington";"washington,d.c."
"John Lucas III";"SEMICORRECT";"washington";"washington,d.c."
"John Lucas III";"SEMICORRECT";"washington";"washington,d.c."
"Jamaal Tinsley";"CORRECT";"";""
"Diante Garrett";"CORRECT";"";""
"Jamaal Tinsley";"CORRECT";"";""
"Diante Garrett";"CORRECT";"";""
"Jamaal Tinsley";"CORRECT";"";""
"Andris Biedrins";"UNCORRECT";"Andris Biedrins";"Andris Biedri?š"
"Andris Biedrins";"UNCORRECT";"Andris Biedrins";"Andris Biedri?š"
"Andris Biedrins";"UNCORRECT";"Andris Biedrins";"Andris Biedri?š"
"Russell Westbrook";"CORRECT";"";""
"Ian Clark";"CORRECT";"";""
"Russell Westbrook";"CORRECT";"";""
"Ian Clark";"CORRECT";"";""
"Rudy Gobert";"SEMICORRECT";"france";"saint-quentin"
"Rudy Gobert";"SEMICORRECT";"france";"saint-quentin"
"Brandon Rush";"CORRECT";"";""
"Brandon Rush";"CORRECT";"";""
"Brandon Rush";"CORRECT";"";""
"Russell Westbrook";"CORRECT";"";""
"Russell Westbrook";"CORRECT";"";""
"Erik Murphy";"SEMICORRECT";"southkingstown";"lyon"
"Erik Murphy";"SEMICORRECT";"southkingstown";"lyon"
"Erik Murphy";"SEMICORRECT";"southkingstown";"lyon"
"Trey Burke";"CORRECT";"";""
"Trey Burke";"CORRECT";"";""
"Trey Burke";"CORRECT";"";""
"Trey Burke";"CORRECT";"";""
"Roger Mason Jr.";"UNCORRECT";"Roger Mason Jr.";"Roger Mason, Jr."
"DeAndre Liggins";"CORRECT";"";""
"Chris Johnson";"SEMICORRECT";"orlando";"columbus"
"Courtney Lee";"CORRECT";"";""
"Courtney Lee";"CORRECT";"";""
"Courtney Lee";"CORRECT";"";""
"Courtney Lee";"CORRECT";"";""
"Gerald Wallace";"CORRECT";"";""
"Gerald Wallace";"CORRECT";"";""
"Gerald Wallace";"CORRECT";"";""
"Gerald Wallace";"CORRECT";"";""
