"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Nando de Colo";"Nando de Colo";"1987-06-23";"1987-06-23";"Sainte-Catherine-lès-Arras";"france"
"Nando de Colo";"Nando de Colo";"1987-06-23";"1987-06-23";"Sainte-Catherine-lès-Arras";"france"
"Nando de Colo";"Nando de Colo";"1987-06-23";"1987-06-23";"Sainte-Catherine-lès-Arras";"france"
"Dwight Buycks";"Dwight Buycks";"1989-03-06";"1989-03-06";"Milwaukee";"milwaukee"
"Dwight Buycks";"Dwight Buycks";"1989-03-06";"1989-03-06";"Milwaukee";"milwaukee"
"Julyan Stone";"Julyan Stone";"1988-12-07";"1988-12-07";"Alexandria";"alexandria"
"Julyan Stone";"Julyan Stone";"1988-12-07";"1988-12-07";"Alexandria";"alexandria"
"Julyan Stone";"Julyan Stone";"1988-12-07";"1988-12-07";"Alexandria";"alexandria"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Earl Clark";"Earl Clark";"1988-01-17";"1988-01-17";"Plainfield";"newark"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Shannon Brown";"Shannon Brown";"1985-11-29";"1985-11-29";"Maywood";"maywood"
"Shannon Brown";"Shannon Brown";"1985-11-29";"1985-11-29";"Maywood";"maywood"
"Shannon Brown";"Shannon Brown";"1985-11-29";"1985-11-29";"Maywood";"maywood"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Tim Hardaway, Jr.";"Tim Hardaway Jr.";"1992-03-16";"1992-03-16";"Miami";"miami"
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Chris Smith";"Chris Smith";"1987-10-13";"1987-10-13";"Millstone";
"Amar'e Stoudemire";"Amar'e Stoudemire";"1982-11-16";"1982-11-16";"Lake Wales";"lakewales"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Beno Udrih";"Beno Udrih";"1982-07-05";"1982-07-05";"Celje";"yugoslavia"
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Metta World Peace";"Metta World Peace";"1979-11-13";"1979-11-13";"Queensbridge";
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Kenyon Martin";"Kenyon Martin";"1977-12-30";"1977-12-30";"Saginaw";"saginaw"
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Jeremy Tyler";"Jeremy Tyler";"1991-06-21";"1991-06-12";"San Diego";"sandiego"
"Toure Murry";"Toure' Murry";"1989-11-08";"1989-11-08";"";"usa"
"Toure Murry";"Toure' Murry";"1989-11-08";"1989-11-08";"";"usa"
"Toure Murry";"Toure' Murry";"1989-11-08";"1989-11-08";"";"usa"
"Amir Johnson";"Amir Johnson";"1987-05-01";"1987-05-01";"Los Angeles";"losangeles"
"Amir Johnson";"Amir Johnson";"1987-05-01";"1987-05-01";"Los Angeles";"losangeles"
"Amir Johnson";"Amir Johnson";"1987-05-01";"1987-05-01";"Los Angeles";"losangeles"
"Amir Johnson";"Amir Johnson";"1987-05-01";"1987-05-01";"Los Angeles";"losangeles"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Gerald Henderson";"Gerald Henderson";"1956-01-16";"1987-12-09";"Richmond";"caldwell"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Danny Green";"Danny Green";"1987-06-22";"1987-06-22";"North Babylon";"newyork"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Ryan Anderson";"Ryan Anderson";"1988-05-06";"1988-05-06";"Sacramento";"sacramento"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Carlos Boozer";"Carlos Boozer";"1981-11-20";"1981-11-20";"Aschaffenburg";"westgermany"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Tristan Thompson";"Tristan Thompson";"1991-03-13";"1991-03-13";"Brampton";"canada"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"John Henson";"John Henson";"1990-12-28";"1990-12-28";"Greensboro";"greensboro"
"Jannero Pargo";"Jannero Pargo";"1979-10-22";"1979-10-22";"Chicago";"chicago"
"Jannero Pargo";"Jannero Pargo";"1979-10-22";"1979-10-22";"Chicago";"chicago"
"Jannero Pargo";"Jannero Pargo";"1979-10-22";"1979-10-22";"Chicago";"chicago"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Festus Ezeli";"Festus Ezeli";"1989-10-21";"1989-10-21";"Benin City";"nigeria"
"Festus Ezeli";"Festus Ezeli";"1989-10-21";"1989-10-21";"Benin City";"nigeria"
"Festus Ezeli";"Festus Ezeli";"1989-10-21";"1989-10-21";"Benin City";"nigeria"
"Hilton Armstrong";"Hilton Armstrong";"1984-11-23";"1984-11-23";"Peekskill";"peekskill"
"Hilton Armstrong";"Hilton Armstrong";"1984-11-23";"1984-11-23";"Peekskill";"peekskill"
"Hilton Armstrong";"Hilton Armstrong";"1984-11-23";"1984-11-23";"Peekskill";"peekskill"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Ognjen Kuzmi?";"Ognjen Kuzmic";"1990-05-16";"1990-05-16";"Doboj";"yugoslavia"
"Ognjen Kuzmi?";"Ognjen Kuzmic";"1990-05-16";"1990-05-16";"Doboj";"yugoslavia"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Nemanja Nedovi?";"Nemanja Nedovic";"1991-06-16";"1991-06-16";"Nova Varoš";"yugoslavia"
"Nemanja Nedovi?";"Nemanja Nedovic";"1991-06-16";"1991-06-16";"Nova Varoš";"yugoslavia"
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Sasha Vuja?i?";"Sasha Vujacic";"1984-03-08";"1984-03-08";"Maribor";"yugoslavia"
"Stephen Jackson";"Stephen Jackson";"1978-04-05";"1978-04-05";"Port Arthur";"houston"
"Maalik Wayns";"Maalik Wayns";"1991-05-02";"1991-05-02";"Philadelphia";"philadelphia"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Reggie Bullock";"Reggie Bullock";"1991-03-16";"1991-03-16";"Kinston";"baltimore"
"Reggie Bullock";"Reggie Bullock";"1991-03-16";"1991-03-16";"Kinston";"baltimore"
"Reggie Bullock";"Reggie Bullock";"1991-03-16";"1991-03-16";"Kinston";"baltimore"
"Ryan Hollins";"Ryan Hollins";"1984-10-10";"1984-10-10";"Pasadena";"pasadena"
"Ryan Hollins";"Ryan Hollins";"1984-10-10";"1984-10-10";"Pasadena";"pasadena"
"Ryan Hollins";"Ryan Hollins";"1984-10-10";"1984-10-10";"Pasadena";"pasadena"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Elliot Williams";"Elliot Williams";"1989-06-20";"1989-06-20";"Memphis";"memphis"
"Elliot Williams";"Elliot Williams";"1989-06-20";"1989-06-20";"Memphis";"memphis"
"Hollis Thompson";"Hollis Thompson";"1991-04-03";"1991-04-03";"Los Angeles";"losangeles"
"Hollis Thompson";"Hollis Thompson";"1991-04-03";"1991-04-03";"Los Angeles";"losangeles"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Casper Ware";"Casper Ware";"1990-11-17";"1990-01-17";"Cerritos";"cerritos"
"Casper Ware";"Casper Ware";"1990-11-17";"1990-01-17";"Cerritos";"cerritos"
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"Adonis Thomas";"Adonis Thomas";"1993-03-25";"1993-03-25";"Memphis";
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"Adonis Thomas";"Adonis Thomas";"1993-03-25";"1993-03-25";"Memphis";
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"James Anderson";"James Anderson";"1989-03-25";"1989-03-25";"El Dorado";"eldorado"
"James Anderson";"James Anderson";"1989-03-25";"1989-03-25";"El Dorado";"eldorado"
"Jarvis Varnado";"Jarvis Varnado";"1988-03-01";"1988-03-01";"Fairfax";"fairfax"
"James Anderson";"James Anderson";"1989-03-25";"1989-03-25";"El Dorado";"eldorado"
"Jarvis Varnado";"Jarvis Varnado";"1988-03-01";"1988-03-01";"Fairfax";"fairfax"
"Jarvis Varnado";"Jarvis Varnado";"1988-03-01";"1988-03-01";"Fairfax";"fairfax"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"James Nunnally";"James Nunnally";"1990-07-14";"1990-07-14";"San Jose";"sanjose"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"James Nunnally";"James Nunnally";"1990-07-14";"1990-07-14";"San Jose";"sanjose"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"James Nunnally";"James Nunnally";"1990-07-14";"1990-07-14";"San Jose";"sanjose"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"Daniel Orton";"Daniel Orton";"1990-08-06";"1990-08-06";"Oklahoma City";"oklahomacity"
"Daniel Orton";"Daniel Orton";"1990-08-06";"1990-08-06";"Oklahoma City";"oklahomacity"
"Daniel Orton";"Daniel Orton";"1990-08-06";"1990-08-06";"Oklahoma City";"oklahomacity"
"Jason Richardson";"Jason Richardson";"1981-01-20";"1981-01-20";"Saginaw";"saginaw"
"Jason Richardson";"Jason Richardson";"1981-01-20";"1981-01-20";"Saginaw";"saginaw"
"Jason Richardson";"Jason Richardson";"1981-01-20";"1981-01-20";"Saginaw";"saginaw"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"Brandon Davies";"Brandon Davies";"1991-07-25";"1991-07-25";"Philadelphia";"philadelphia"
"Brandon Davies";"Brandon Davies";"1991-07-25";"1991-07-25";"Philadelphia";"philadelphia"
"Lorenzo Brown";"Lorenzo Brown";"1990-08-26";"1990-08-26";"Roswell";"rockford"
"Lorenzo Brown";"Lorenzo Brown";"1990-08-26";"1990-08-26";"Roswell";"rockford"
"Darius Johnson-Odom";"Darius Johnson-Odom";"1989-09-28";"1989-09-28";"Raleigh";"raleigh"
"Darius Johnson-Odom";"Darius Johnson-Odom";"1989-09-28";"1989-09-28";"Raleigh";"raleigh"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"C. J. Miles";"C.J. Miles";"1987-03-18";"1987-03-18";"Dallas";"dallas"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"C. J. Miles";"C.J. Miles";"1987-03-18";"1987-03-18";"Dallas";"dallas"
"C. J. Miles";"C.J. Miles";"1987-03-18";"1987-03-18";"Dallas";"dallas"
"C. J. Miles";"C.J. Miles";"1987-03-18";"1987-03-18";"Dallas";"dallas"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
